date,ticker,iv
2025-03-13,SPY,0.1691
2025-03-14,SPY,0.129
2025-03-17,SPY,0.1828
2025-03-18,SPY,0.1887
2025-03-19,SPY,0.1021
2025-03-20,SPY,0.1217
2025-03-21,SPY,0.1648
2025-03-24,SPY,0.1516
2025-03-25,SPY,0.1608
2025-03-26,SPY,0.1358
2025-03-27,SPY,0.188
2025-03-28,SPY,0.1851
2025-03-31,SPY,0.1639
2025-04-01,SPY,0.1959
2025-04-02,SPY,0.1763
2025-04-03,SPY,0.1366
2025-04-04,SPY,0.1736
2025-04-07,SPY,0.1339
2025-04-08,SPY,0.1892
2025-04-09,SPY,0.1615
2025-04-10,SPY,0.1576
2025-04-11,SPY,0.1429
2025-04-14,SPY,0.2002
2025-04-15,SPY,0.159
2025-04-16,SPY,0.151
2025-04-17,SPY,0.1534
2025-04-18,SPY,0.1801
2025-04-21,SPY,0.1753
2025-04-22,SPY,0.1768
2025-04-23,SPY,0.1775
2025-04-24,SPY,0.229
2025-04-25,SPY,0.1527
2025-04-28,SPY,0.1497
2025-04-29,SPY,0.1408
2025-04-30,SPY,0.1839
2025-05-01,SPY,0.1994
2025-05-02,SPY,0.1623
2025-05-05,SPY,0.1407
2025-05-06,SPY,0.1413
2025-05-07,SPY,0.1857
2025-05-08,SPY,0.1887
2025-05-09,SPY,0.1828
2025-05-12,SPY,0.1467
2025-05-13,SPY,0.1738
2025-05-14,SPY,0.1705
2025-05-15,SPY,0.1737
2025-05-16,SPY,0.1935
2025-05-19,SPY,0.1742
2025-05-20,SPY,0.188
2025-05-21,SPY,0.1698
2025-05-22,SPY,0.1766
2025-05-23,SPY,0.1871
2025-05-26,SPY,0.1246
2025-05-27,SPY,0.1589
2025-05-28,SPY,0.1545
2025-05-29,SPY,0.1496
2025-05-30,SPY,0.1607
2025-06-02,SPY,0.2139
2025-06-03,SPY,0.1433
2025-06-04,SPY,0.1985
2025-06-05,SPY,0.1191
2025-06-06,SPY,0.1597
2025-06-09,SPY,0.1748
2025-06-10,SPY,0.1876
2025-06-11,SPY,0.1915
2025-06-12,SPY,0.1942
2025-06-13,SPY,0.1601
2025-06-16,SPY,0.1568
2025-06-17,SPY,0.1966
2025-06-18,SPY,0.1653
2025-06-19,SPY,0.1329
2025-06-20,SPY,0.1373
2025-06-23,SPY,0.1439
2025-06-24,SPY,0.1865
2025-06-25,SPY,0.1761
2025-06-26,SPY,0.1927
2025-06-27,SPY,0.1593
2025-06-30,SPY,0.177
2025-07-01,SPY,0.1912
2025-07-02,SPY,0.1633
2025-07-03,SPY,0.1865
2025-07-04,SPY,0.1531
2025-07-07,SPY,0.1622
2025-07-08,SPY,0.1618
2025-07-09,SPY,0.1375
2025-07-10,SPY,0.1882
2025-07-11,SPY,0.1596
2025-07-14,SPY,0.1742
2025-07-15,SPY,0.1884
2025-07-16,SPY,0.1876
2025-07-17,SPY,0.1943
2025-07-18,SPY,0.1715
2025-07-21,SPY,0.162
2025-07-22,SPY,0.1724
2025-07-23,SPY,0.1244
2025-07-24,SPY,0.1317
2025-07-25,SPY,0.1356
2025-07-28,SPY,0.1455
2025-07-29,SPY,0.1876
2025-07-30,SPY,0.1486
2025-07-31,SPY,0.1646
2025-08-01,SPY,0.2151
2025-08-04,SPY,0.1656
2025-08-05,SPY,0.1985
2025-08-06,SPY,0.1486
2025-08-07,SPY,0.1706
2025-08-08,SPY,0.1484
2025-08-11,SPY,0.1669
2025-08-12,SPY,0.2024
2025-08-13,SPY,0.1256
2025-08-14,SPY,0.1906
2025-08-15,SPY,0.1848
2025-08-18,SPY,0.16
2025-08-19,SPY,0.1346
